Time,User,Component,Load Time
2025-03-17 20:07:40,plttest007@telarus.com,Oppurtunity,4.12
2025-03-17 20:07:41,plttest002@telarus.com,Oppurtunity,0.07
2025-03-17 20:07:42,plttest005@telarus.com,Oppurtunity,0.55
2025-03-17 20:07:43,plttest004@telarus.com,Oppurtunity,0.34
2025-03-17 20:07:46,plttest003@telarus.com,Oppurtunity,1.30
2025-03-17 20:07:52,plttest002@telarus.com,Order,1.18
2025-03-17 20:07:54,plttest007@telarus.com,Order,1.99
2025-03-17 20:07:54,plttest008@telarus.com,Oppurtunity,3.86
2025-03-17 20:07:55,plttest013@telarus.com,Oppurtunity,3.81
2025-03-17 20:07:55,plttest009@telarus.com,Oppurtunity,3.88
2025-03-17 20:08:05,plttest005@telarus.com,Order,6.05
2025-03-17 20:08:06,plttest006@telarus.com,Oppurtunity,6.26
2025-03-17 20:08:13,plttest008@telarus.com,Order,3.25
2025-03-17 20:08:14,plttest003@telarus.com,Order,15.74
2025-03-17 20:08:15,plttest018@telarus.com,Oppurtunity,6.54
2025-03-17 20:08:15,plttest001@telarus.com,Oppurtunity,6.52
2025-03-17 20:08:15,plttest004@telarus.com,Order,6.37
2025-03-17 20:08:15,plttest007@telarus.com,Customer,6.37
2025-03-17 20:08:15,plttest002@telarus.com,Customer,6.61
2025-03-17 20:08:17,plttest013@telarus.com,Order,3.82
2025-03-17 20:08:17,plttest009@telarus.com,Order,4.90
2025-03-17 20:08:28,plttest006@telarus.com,Order,2.19
2025-03-17 20:08:38,plttest001@telarus.com,Order,3.45
2025-03-17 20:08:48,plttest020@telarus.com,Oppurtunity,0.10
2025-03-17 20:08:49,plttest003@telarus.com,Customer,5.74
2025-03-17 20:08:49,plttest013@telarus.com,Customer,5.84
2025-03-17 20:08:50,plttest022@telarus.com,Oppurtunity,1.98
2025-03-17 20:08:58,plttest001@telarus.com,Customer,1.03
2025-03-17 20:09:02,plttest010@telarus.com,Oppurtunity,1.43
2025-03-17 20:09:02,plttest014@telarus.com,Oppurtunity,3.17
2025-03-17 20:09:02,plttest012@telarus.com,Oppurtunity,55.38
2025-03-17 20:09:02,plttest005@telarus.com,Customer,1.08
2025-03-17 20:09:03,plttest018@telarus.com,Order,0.37
2025-03-17 20:09:03,plttest007@telarus.com,Quotes,0.42
2025-03-17 20:09:03,plttest004@telarus.com,Customer,0.37
2025-03-17 20:09:03,plttest009@telarus.com,Customer,0.23
2025-03-17 20:09:03,plttest008@telarus.com,Customer,0.13
2025-03-17 20:09:03,plttest002@telarus.com,Quotes,0.26
2025-03-17 20:09:05,plttest006@telarus.com,Customer,0.51
2025-03-17 20:09:17,plttest003@telarus.com,Quotes,9.46
2025-03-17 20:09:23,plttest027@telarus.com,Oppurtunity,9.46
2025-03-17 20:09:34,plttest020@telarus.com,Order,9.40
2025-03-17 20:09:40,plttest013@telarus.com,Quotes,26.74
2025-03-17 20:09:43,plttest019@telarus.com,Oppurtunity,23.16
2025-03-17 20:09:44,plttest008@telarus.com,Quotes,2.69
2025-03-17 20:09:45,plttest010@telarus.com,Order,35.21
2025-03-17 20:09:47,plttest021@telarus.com,Oppurtunity,38.10
2025-03-17 20:09:47,plttest012@telarus.com,Order,4.38
2025-03-17 20:09:47,plttest002@telarus.com,Cases,2.69
2025-03-17 20:09:48,plttest014@telarus.com,Order,3.93
2025-03-17 20:09:49,plttest009@telarus.com,Quotes,3.81
2025-03-17 20:09:51,plttest018@telarus.com,Customer,4.28
2025-03-17 20:09:53,plttest022@telarus.com,Order,4.37
2025-03-17 20:09:53,plttest011@telarus.com,Oppurtunity,4.27
2025-03-17 20:09:53,plttest005@telarus.com,Quotes,4.27
2025-03-17 20:09:56,plttest028@telarus.com,Oppurtunity,4.26
2025-03-17 20:09:57,plttest001@telarus.com,Quotes,4.92
2025-03-17 20:09:59,plttest024@telarus.com,Oppurtunity,7.56
2025-03-17 20:09:59,plttest007@telarus.com,Cases,7.95
2025-03-17 20:10:09,plttest038@telarus.com,Oppurtunity,28.53
2025-03-17 20:10:11,plttest026@telarus.com,Oppurtunity,10.21
2025-03-17 20:10:13,plttest036@telarus.com,Oppurtunity,25.23
2025-03-17 20:10:15,plttest032@telarus.com,Oppurtunity,17.28
2025-03-17 20:10:18,plttest030@telarus.com,Oppurtunity,19.47
2025-03-17 20:10:22,plttest037@telarus.com,Oppurtunity,20.47
2025-03-17 20:10:24,plttest033@telarus.com,Oppurtunity,17.28
2025-03-17 20:10:26,plttest025@telarus.com,Oppurtunity,17.31
2025-03-17 20:10:26,plttest003@telarus.com,Cases,21.41
2025-03-17 20:10:27,plttest020@telarus.com,Customer,21.38
2025-03-17 20:10:27,plttest027@telarus.com,Order,21.42
2025-03-17 20:10:27,plttest031@telarus.com,Oppurtunity,32.99
2025-03-17 20:10:27,plttest034@telarus.com,Oppurtunity,22.41
2025-03-17 20:10:27,plttest023@telarus.com,Oppurtunity,21.39
2025-03-17 20:10:28,plttest006@telarus.com,Quotes,17.31
2025-03-17 20:10:29,plttest015@telarus.com,Oppurtunity,29.48
2025-03-17 20:10:30,plttest028@telarus.com,Order,10.17
2025-03-17 20:10:32,plttest026@telarus.com,Order,0.25
2025-03-17 20:10:34,plttest038@telarus.com,Order,0.26
2025-03-17 20:10:35,plttest040@telarus.com,Oppurtunity,10.15
2025-03-17 20:10:35,plttest049@telarus.com,Oppurtunity,10.16
2025-03-17 20:10:35,plttest008@telarus.com,Cases,10.17
