Time,User,Component,Load Time
2025-03-17 20:19:04,plttest003@telarus.com,Oppurtunity,2.05
2025-03-17 20:19:08,plttest002@telarus.com,Oppurtunity,0.53
2025-03-17 20:19:08,plttest009@telarus.com,Oppurtunity,0.08
2025-03-17 20:19:18,plttest003@telarus.com,Order,2.35
2025-03-17 20:19:21,plttest001@telarus.com,Oppurtunity,1.44
2025-03-17 20:19:25,plttest009@telarus.com,Order,0.61
2025-03-17 20:19:26,plttest004@telarus.com,Oppurtunity,1.04
2025-03-17 20:19:33,plttest005@telarus.com,Oppurtunity,0.17
2025-03-17 20:19:33,plttest001@telarus.com,Order,0.17
2025-03-17 20:19:35,plttest003@telarus.com,Customer,14.09
2025-03-17 20:19:35,plttest008@telarus.com,Oppurtunity,1.21
2025-03-17 20:19:35,plttest007@telarus.com,Oppurtunity,1.22
2025-03-17 20:19:35,plttest002@telarus.com,Order,1.24
2025-03-17 20:19:35,plttest006@telarus.com,Oppurtunity,1.23
2025-03-17 20:19:35,plttest010@telarus.com,Oppurtunity,1.26
2025-03-17 20:19:35,plttest016@telarus.com,Oppurtunity,1.16
2025-03-17 20:19:38,plttest009@telarus.com,Customer,3.06
2025-03-17 20:19:47,plttest020@telarus.com,Oppurtunity,3.85
2025-03-17 20:19:47,plttest012@telarus.com,Oppurtunity,0.34
2025-03-17 20:19:47,plttest022@telarus.com,Oppurtunity,4.05
2025-03-17 20:19:48,plttest001@telarus.com,Customer,0.45
2025-03-17 20:19:55,plttest028@telarus.com,Oppurtunity,1.02
2025-03-17 20:19:57,plttest002@telarus.com,Customer,6.53
2025-03-17 20:19:58,plttest023@telarus.com,Oppurtunity,3.99
2025-03-17 20:19:58,plttest006@telarus.com,Order,4.37
2025-03-17 20:19:58,plttest007@telarus.com,Order,4.36
2025-03-17 20:19:58,plttest010@telarus.com,Order,4.37
2025-03-17 20:19:58,plttest016@telarus.com,Order,4.38
2025-03-17 20:19:58,plttest024@telarus.com,Oppurtunity,4.37
2025-03-17 20:20:00,plttest021@telarus.com,Oppurtunity,4.39
2025-03-17 20:20:00,plttest011@telarus.com,Oppurtunity,4.37
2025-03-17 20:20:00,plttest013@telarus.com,Oppurtunity,4.37
2025-03-17 20:20:04,plttest026@telarus.com,Oppurtunity,4.86
2025-03-17 20:20:10,plttest028@telarus.com,Order,3.81
2025-03-17 20:20:14,plttest018@telarus.com,Oppurtunity,6.78
2025-03-17 20:20:14,plttest012@telarus.com,Order,6.78
2025-03-17 20:20:15,plttest006@telarus.com,Customer,0.08
2025-03-17 20:20:15,plttest001@telarus.com,Quotes,9.02
2025-03-17 20:20:17,plttest016@telarus.com,Customer,10.20
2025-03-17 20:20:17,plttest023@telarus.com,Order,1.99
2025-03-17 20:20:20,plttest004@telarus.com,Order,0.53
2025-03-17 20:20:20,plttest009@telarus.com,Quotes,0.52
2025-03-17 20:20:21,plttest020@telarus.com,Order,26.17
2025-03-17 20:20:22,plttest028@telarus.com,Customer,6.42
2025-03-17 20:20:22,plttest002@telarus.com,Quotes,0.82
2025-03-17 20:20:23,plttest005@telarus.com,Order,0.82
2025-03-17 20:20:24,plttest003@telarus.com,Quotes,0.83
2025-03-17 20:20:25,plttest022@telarus.com,Order,0.83
2025-03-17 20:20:26,plttest017@telarus.com,Oppurtunity,0.84
2025-03-17 20:20:27,plttest024@telarus.com,Order,0.83
2025-03-17 20:20:29,plttest026@telarus.com,Order,0.83
2025-03-17 20:20:29,plttest008@telarus.com,Order,0.86
2025-03-17 20:20:29,plttest007@telarus.com,Customer,0.83
2025-03-17 20:20:30,plttest013@telarus.com,Order,8.17
