Time,User,Component,Load Time
2025-03-17 19:52:51,plttest006@telarus.com,Oppurtunity,4.77
2025-03-17 19:52:52,plttest002@telarus.com,Oppurtunity,0.31
2025-03-17 19:52:53,plttest004@telarus.com,Oppurtunity,0.12
2025-03-17 19:52:53,plttest005@telarus.com,Oppurtunity,0.12
2025-03-17 19:52:55,plttest003@telarus.com,Oppurtunity,0.85
2025-03-17 19:53:04,plttest001@telarus.com,Oppurtunity,10.27
2025-03-17 19:53:07,plttest012@telarus.com,Oppurtunity,1.33
2025-03-17 19:53:08,plttest009@telarus.com,Oppurtunity,6.22
2025-03-17 19:53:08,plttest004@telarus.com,Order,2.80
2025-03-17 19:53:14,plttest006@telarus.com,Order,4.01
2025-03-17 19:53:19,plttest005@telarus.com,Order,5.48
2025-03-17 19:53:19,plttest002@telarus.com,Order,4.91
2025-03-17 19:53:22,plttest003@telarus.com,Order,3.74
2025-03-17 19:53:22,plttest001@telarus.com,Order,3.08
2025-03-17 19:53:27,plttest007@telarus.com,Oppurtunity,0.82
2025-03-17 19:53:32,plttest030@telarus.com,Oppurtunity,4.23
2025-03-17 19:53:32,plttest006@telarus.com,Customer,9.51
2025-03-17 19:53:32,plttest010@telarus.com,Oppurtunity,0.09
2025-03-17 19:53:40,plttest005@telarus.com,Customer,8.22
2025-03-17 19:53:41,plttest002@telarus.com,Customer,1.28
2025-03-17 19:53:47,plttest030@telarus.com,Order,9.68
2025-03-17 19:53:47,plttest016@telarus.com,Oppurtunity,9.92
2025-03-17 19:53:48,plttest012@telarus.com,Order,10.29
2025-03-17 19:53:48,plttest004@telarus.com,Customer,10.29
2025-03-17 19:53:48,plttest009@telarus.com,Order,10.64
2025-03-17 19:53:50,plttest001@telarus.com,Customer,12.38
2025-03-17 19:53:51,plttest003@telarus.com,Customer,6.22
2025-03-17 19:53:52,plttest007@telarus.com,Order,0.80
2025-03-17 19:53:58,plttest015@telarus.com,Oppurtunity,2.61
2025-03-17 19:53:58,plttest030@telarus.com,Customer,5.85
2025-03-17 19:54:02,plttest012@telarus.com,Customer,0.07
2025-03-17 19:54:02,plttest006@telarus.com,Quotes,0.10
2025-03-17 19:54:03,plttest021@telarus.com,Oppurtunity,0.10
2025-03-17 19:54:03,plttest010@telarus.com,Order,0.10
2025-03-17 19:54:03,plttest001@telarus.com,Quotes,0.36
2025-03-17 19:54:04,plttest004@telarus.com,Quotes,0.25
2025-03-17 19:54:04,plttest002@telarus.com,Quotes,0.31
2025-03-17 19:54:04,plttest007@telarus.com,Customer,1.46
2025-03-17 19:54:04,plttest014@telarus.com,Oppurtunity,0.31
2025-03-17 19:54:04,plttest016@telarus.com,Order,0.33
2025-03-17 19:54:04,plttest005@telarus.com,Quotes,0.32
2025-03-17 19:54:04,plttest009@telarus.com,Customer,0.33
2025-03-17 19:54:04,plttest017@telarus.com,Oppurtunity,0.36
2025-03-17 19:54:04,plttest003@telarus.com,Quotes,0.09
2025-03-17 19:54:12,plttest030@telarus.com,Quotes,5.06
2025-03-17 19:54:16,plttest013@telarus.com,Oppurtunity,8.85
2025-03-17 19:54:16,plttest026@telarus.com,Oppurtunity,2.27
2025-03-17 19:54:18,plttest029@telarus.com,Oppurtunity,1.75
2025-03-17 19:54:18,plttest015@telarus.com,Order,1.75
2025-03-17 19:54:18,plttest028@telarus.com,Oppurtunity,1.79
2025-03-17 19:54:18,plttest024@telarus.com,Oppurtunity,1.78
2025-03-17 19:54:18,plttest010@telarus.com,Customer,1.99
2025-03-17 19:54:22,plttest008@telarus.com,Oppurtunity,1.75
2025-03-17 19:54:26,plttest016@telarus.com,Customer,8.79
2025-03-17 19:54:32,plttest030@telarus.com,Cases,1.86
2025-03-17 19:54:32,plttest001@telarus.com,Cases,1.88
